Eastern Central US  (309,1332)  (364,1318)  (423,1327)  (308,1389)  (363,1375)  (418,1396)  (405,1457)  (345,1447)  (290,1451)  (239,1503)  (313,1510)  (259,1566)  (258,1628)  | overflowToLeft=false
56 Sea Zone  (4203,1558)  (4157,1598)  (4157,1552)  (4248,1604)  (4203,1512)  (4249,1512)  (4249,1558)  (4155,1506)  (4111,1577)  (4294,1604)  (4201,1466)  (4295,1529)  (4155,1421)  (4340,1575)  (4340,1621)  | overflowToLeft=false
Kharkov  (4040,1183)  (4028,1135)  (4076,1115)  (4088,1165)  (4089,1213)  (4041,1233)  (3989,1231)  (3988,1181)  (3978,1133)  (3930,1138)  (3932,1087)  (3984,1088)  (4095,1264)  | overflowToLeft=false
Central US  (5,1523)  (4,1579)  (3,1635)  (58,1519)  (59,1573)  (112,1519)  (111,1572)  (63,1628)  (116,1629)  (168,1517)  (164,1572)  (170,1628)  (10364,1516)  (10414,1517)  | overflowToLeft=false
9 Sea Zone  (2537,286)  (2491,331)  (2491,285)  (2582,332)  (2537,240)  (2583,240)  (2583,286)  (2489,239)  (2445,348)  (2445,302)  (2628,332)  (2629,224)  (2629,270)  (2443,256)  (2399,348)  (2399,302)  (2674,316)  (2675,224)  (2675,270)  (2397,256)  (2720,316)  (2721,224)  (2721,270)  | overflowToLeft=false
28 Sea Zone  (3405,483)  (3405,530)  (3451,563)  (3357,500)  (3431,425)  (3450,610)  (3406,579)  (3485,373)  (3531,335)  (3403,626)  (3456,658)  (3354,652)  | overflowToLeft=true
Northern Yugoslavia  (3222,1410)  (3280,1395)  (3274,1446)  (3329,1444)  (3284,1496)  (3333,1510)  (3387,1443)  (3452,1425)  | overflowToLeft=false
Hokkaido  (8012,1257)  (8011,1209)  (8062,1221)  (8063,1271)  (8011,1306)  (7960,1320)  (7959,1269)  (7960,1212)  (8113,1249)  (8075,1317)  | overflowToLeft=false
Al Kufrah  (3629,2480)  (3583,2479)  (3582,2522)  (3626,2522)  (3672,2523)  (3673,2480)  (3536,2520)  (3538,2475)  (3583,2434)  (3628,2435)  (3674,2438)  (3683,2567)  (3636,2567)  (3589,2566)  (3540,2563)  | overflowToLeft=true
125 Sea Zone  (8844,2689)  (8798,2734)  (8798,2688)  (8889,2735)  (8844,2643)  (8890,2643)  (8890,2689)  (8796,2642)  (8808,2780)  (8762,2780)  (8752,2734)  (8752,2688)  (8936,2618)  (8936,2664)  (8936,2710)  (8750,2642)  (8716,2816)  (8808,2826)  (8762,2826)  (8706,2770)  (8706,2724)  (8982,2618)  (8982,2664)  (8704,2678)  (8704,2632)  (8716,2862)  (8670,2862)  (8670,2816)  (8806,2872)  (8660,2770)  (8660,2724)  (8658,2678)  (8658,2632)  (8624,2890)  (8624,2844)  (8614,2798)  (8614,2752)  (8612,2706)  (8612,2660)  | overflowToLeft=false
Johnston Island  (9209,2506)  | overflowToLeft=false
Aden  (4889,3036)  (4838,3038)  (4807,3089)  (4605,3100)  (4665,3101)  | overflowToLeft=false
Eastern Iran  (4875,1968)  (4934,1949)  (4988,1952)  (5045,1985)  (4930,2008)  (4984,2011)  (4874,2023)  (4820,2065)  (4875,2080)  (4927,2065)  (4979,2068)  (5044,2044)  (5048,2096)  (4931,2126)  (4987,2132)  (5050,2152)  (4801,2118)  (4807,2174)  | overflowToLeft=false
Western Germany  (2956,1137)  (3001,1135)  (2910,1137)  (2976,1091)  (2930,1090)  (2952,1181)  (2907,1182)  (2864,1162)  (2997,1179)  (3026,1086)  (3047,1132)  | overflowToLeft=false
161 Sea Zone  (8877,4209)  (8831,4254)  (8831,4208)  (8922,4255)  (8877,4163)  (8923,4163)  (8923,4209)  (8876,4300)  (8830,4300)  (8968,4255)  (8968,4301)  (8922,4301)  (8784,4301)  (8842,4117)  (8888,4117)  (8934,4117)  (8969,4163)  (8969,4209)  (8980,4106)  (8876,4346)  (8830,4346)  (9014,4255)  (9014,4301)  (9014,4347)  (8968,4347)  (8922,4347)  (8784,4347)  (9015,4152)  (9015,4198)  (9026,4094)  | overflowToLeft=false
Finland  (3540,460)  (3585,460)  (3632,460)  (3633,413)  (3587,413)  (3646,511)  (3647,364)  (3598,367)  (3542,414)  (3603,509)  (3558,531)  (3510,508)  (3495,452)  | overflowToLeft=true
23 Sea Zone  (2735,939)  (2734,984)  (2780,938)  (2828,927)  (2780,892)  (2731,891)  (2827,882)  (2828,837)  (2774,843)  (2729,843)  (2680,841)  (2736,1027)  (2628,839)  | overflowToLeft=true
Bonin Island  (8349,1867)  | overflowToLeft=false
Cyrenaica  (3415,2472)  (3459,2473)  (3370,2472)  (3459,2429)  (3413,2426)  (3368,2425)  (3345,2377)  (3389,2378)  (3469,2383)  (3478,2519)  (3432,2518)  (3413,2563)  (3387,2515)  (3343,2542)  | overflowToLeft=true
Singkiang  (5691,1686)  (5678,1628)  (5733,1629)  (5750,1686)  (5756,1738)  (5697,1742)  (5638,1741)  (5632,1685)  (5618,1631)  (5624,1568)  (5676,1569)  (5802,1650)  (5808,1706)  (5813,1765)  (5764,1798)  (5706,1795)  (5856,1669)  (5577,1711)  (5569,1554)  (5621,1510)  (5678,1513)  (5635,1458)  (5650,1789)  (5814,1817)  (5570,1661)  (5571,1604)  (5728,1503)  (5702,1455)  (5683,1410)  (5626,1408)  | overflowToLeft=true
Baffin Island  (919,8)  (984,20)  (971,78)  (1030,82)  (1015,140)  (957,157)  (898,164)  (972,216)  | overflowToLeft=false
64 Sea Zone  (1821,3172)  (1775,3217)  (1775,3171)  (1866,3218)  (1821,3126)  (1867,3126)  (1867,3172)  (1773,3125)  (1820,3263)  (1774,3263)  (1912,3218)  (1912,3264)  (1866,3264)  (1819,3080)  (1865,3080)  (1911,3080)  (1913,3126)  (1913,3172)  (1737,3079)  (1820,3309)  (1774,3309)  (1958,3218)  (1958,3264)  (1958,3310)  (1912,3310)  (1866,3310)  (1783,3034)  (1829,3034)  (1875,3034)  (1959,3170)  (1737,3033)  (1921,3004)  (1820,3355)  (1774,3355)  (2004,3226)  (2004,3272)  (2004,3318)  (1958,3356)  (1912,3356)  (1866,3356)  (1783,2988)  (1829,2988)  (1875,2988)  (2012,3364)  (1820,3401)  (1774,3401)  (2050,3268)  (2050,3314)  (1966,3402)  (1920,3402)  (1874,3402)  (2058,3360)  (2058,3406)  (2012,3410)  (1828,3447)  (1782,3447)  (1966,3448)  (1920,3448)  (1874,3448)  (2100,3452)  (2104,3338)  (2104,3384)  (2054,3456)  (1828,3493)  (1782,3493)  (2008,3494)  (1962,3494)  (1916,3494)  (2146,3430)  (2146,3476)  (2100,3498)  (2150,3367)  (2054,3502)  (2170,3522)  (1870,3539)  (1824,3539)  (1778,3539)  (2008,3540)  (1962,3540)  (1916,3540)  (2192,3413)  (2192,3459)  (2124,3544)  (2078,3548)  (2216,3505)  (2216,3551)  (2170,3568)  (1870,3585)  (1824,3585)  (1778,3585)  (2032,3586)  (1986,3586)  (1940,3586)  (2238,3425)  (2124,3590)  (2078,3594)  (2245,3597)  (2262,3471)  (2262,3517)  (2199,3614)  (1894,3631)  (1848,3631)  (1802,3631)  (1756,3631)  (2032,3632)  (1986,3632)  (1940,3632)  (2153,3636)  (2107,3640)  (2291,3563)  (2291,3609)  (2245,3643)  (2303,3655)  (2308,3433)  (2308,3479)  (2199,3660)  (1894,3677)  (1848,3677)  (1802,3677)  (1756,3677)  (2061,3678)  (2015,3678)  (1969,3678)  (2153,3682)  (2107,3686)  (2337,3525)  (2337,3571)  (2257,3689)  (2349,3617)  (2349,3663)  (2303,3701)  (2211,3706)  (2352,3709)  (1923,3723)  (1877,3723)  (1831,3723)  (1785,3723)  (1739,3723)  (2061,3724)  (2015,3724)  (1969,3724)  (2165,3728)  (2119,3732)  (2257,3735)  (2306,3747)  (2211,3752)  (2352,3755)  (1923,3769)  (1877,3769)  (1831,3769)  (1785,3769)  (1739,3769)  (2073,3770)  (2027,3770)  (1981,3770)  (2165,3774)  (2119,3778)  (2260,3781)  (2306,3793)  (2214,3798)  (2352,3801)  (1935,3815)  (1889,3815)  (1843,3815)  (1797,3815)  (1751,3815)  (2073,3816)  (2027,3816)  (1981,3816)  | overflowToLeft=false
Northern Italy  (2920,1435)  (2965,1436)  (3011,1435)  (3012,1479)  (3055,1437)  (3057,1480)  (3102,1459)  (2963,1480)  (2913,1480)  (3044,1524)  (3089,1550)  (3104,1504)  (3055,1392)  (3099,1408)  (3145,1409)  | overflowToLeft=false
76 Sea Zone  (4546,3840)  (4500,3885)  (4500,3839)  (4591,3886)  (4546,3794)  (4592,3794)  (4592,3840)  (4498,3793)  (4545,3931)  (4499,3931)  (4454,3885)  (4454,3839)  (4637,3886)  (4637,3932)  (4591,3932)  (4453,3932)  (4544,3748)  (4590,3748)  (4636,3748)  (4638,3794)  (4638,3840)  (4452,3793)  (4452,3747)  (4498,3747)  (4682,3704)  (4545,3977)  (4499,3977)  (4408,3886)  (4408,3840)  (4683,3886)  (4683,3932)  (4683,3978)  (4637,3978)  (4591,3978)  (4453,3978)  (4407,3978)  (4407,3932)  (4544,3702)  (4590,3702)  (4636,3702)  (4684,3750)  (4684,3796)  (4406,3794)  (4406,3748)  (4406,3702)  (4452,3701)  (4498,3701)  (4682,3658)  (4728,3658)  (4728,3704)  (4545,4023)  (4499,4023)  (4362,3886)  (4362,3840)  (4729,3842)  (4729,3888)  (4729,3934)  (4729,3980)  (4683,4024)  (4637,4024)  (4591,4024)  (4453,4024)  (4407,4024)  (4544,3656)  (4590,3656)  (4636,3656)  (4730,3750)  (4730,3796)  (4360,3794)  (4360,3748)  (4443,3655)  (4489,3655)  (4731,4026)  (4682,3612)  (4728,3612)  (4545,4069)  (4499,4069)  (4685,4070)  (4639,4070)  (4593,4070)  (4453,4070)  (4407,4070)  (4535,3610)  (4581,3610)  (4627,3610)  (4547,4115)  (4501,4115)  (4635,4116)  (4455,4116)  (4409,4116)  (4548,4161)  (4502,4161)  (4456,4162)  (4410,4162)  | overflowToLeft=false
Altay  (5813,1300)  (5811,1244)  (5862,1240)  (5867,1293)  (5871,1349)  (5816,1353)  (5752,1351)  (5750,1293)  (5751,1242)  (5730,1188)  (5786,1185)  (5703,1332)  (5745,1401)  (5793,1402)  (5789,1448)  (5842,1420)  (5889,1394)  (5921,1348)  (5915,1297)  (5966,1300)  (5913,1247)  (5843,1190)  | overflowToLeft=false
15 Sea Zone  (4652,60)  (4606,105)  (4606,59)  (4697,106)  (4652,14)  (4698,14)  (4698,60)  (4604,13)  (4637,151)  (4591,151)  (4744,0)  (4744,46)  (4744,92)  (4558,17)  (4790,0)  (4790,46)  (4790,92)  (4506,141)  (4483,95)  (4836,0)  (4836,46)  (4836,92)  (4460,163)  (4437,117)  (4882,0)  (4882,122)  (4419,4)  (4414,172)  (4398,71)  (4391,126)  (4373,25)  (4368,192)  (4352,80)  (4345,146)  (4327,34)  (4322,225)  (4306,100)  (4299,158)  (4281,54)  (4281,8)  (5033,0)  (5120,0)  | overflowToLeft=false
4 Sea Zone  (1719,553)  (1673,598)  (1673,552)  (1764,599)  (1719,507)  (1765,507)  (1765,553)  (1671,506)  (1627,612)  (1627,566)  (1810,599)  (1810,645)  (1764,645)  (1811,478)  (1811,524)  (1625,520)  (1581,612)  (1581,566)  (1856,570)  (1856,616)  (1856,662)  (1857,478)  (1857,524)  (1579,520)  (1902,570)  (1902,616)  (1902,662)  (1903,478)  (1903,524)  | overflowToLeft=false
Nenetsia  (4796,443)  (4788,389)  (4736,389)  (4685,388)  (4787,336)  (4735,335)  (4683,334)  (4657,244)  (4707,244)  (4758,244)  (4809,244)  (4860,244)  (4774,191)  (4825,191)  (4875,191)  | overflowToLeft=false
Morrocco  (2339,2315)  (2386,2316)  (2385,2268)  (2339,2266)  (2292,2268)  (2288,2317)  (2432,2284)  (2429,2236)  (2358,2363)  (2312,2363)  (2258,2365)  (2478,2272)  (2477,2225)  (2524,2260)  (2521,2208)  (2341,2220)  (2264,2409)  (2216,2412)  (2157,2483)  (2203,2456)  (2246,2482)  | overflowToLeft=false
97 Sea Zone  (7420,1671)  (7374,1716)  (7374,1670)  (7465,1717)  (7420,1625)  (7466,1625)  (7466,1671)  (7365,1590)  (7419,1762)  (7373,1762)  (7328,1716)  (7511,1717)  (7511,1763)  (7465,1763)  (7411,1579)  (7512,1602)  (7512,1648)  (7319,1573)  (7365,1544)  (7419,1808)  (7557,1694)  (7557,1740)  (7531,1809)  (7485,1809)  (7411,1533)  (7275,1527)  (7273,1573)  (7439,1854)  (7492,1855)  (7229,1527)  (7229,1481)  (7183,1547)  | overflowToLeft=false
92 Sea Zone  (6879,3460)  (6833,3505)  (6833,3459)  (6924,3506)  (6879,3414)  (6925,3414)  (6925,3460)  (6831,3413)  (6957,3552)  (6905,3368)  (6951,3368)  (6785,3454)  (6785,3408)  (6957,3598)  (6882,3322)  (6928,3322)  (6911,3610)  (6957,3644)  (6911,3656)  | overflowToLeft=false
Bulgaria  (3634,1585)  (3685,1588)  (3741,1586)  (3794,1565)  (3788,1622)  (3738,1642)  (3683,1644)  (3629,1644)  | overflowToLeft=false
153 Sea Zone  (9372,3892)  (9326,3937)  (9326,3891)  (9417,3938)  (9372,3846)  (9418,3846)  (9418,3892)  (9324,3845)  (9371,3983)  (9325,3983)  (9280,3937)  (9280,3891)  (9463,3938)  (9463,3984)  (9417,3984)  (9279,3984)  (9370,3800)  (9278,3845)  (9278,3799)  (9324,3799)  (9466,3796)  (9371,4029)  (9325,4029)  (9234,3914)  (9509,3909)  (9509,3955)  (9509,4001)  (9463,4030)  (9417,4030)  (9370,3754)  (9232,3868)  (9232,3822)  (9232,3776)  (9278,3753)  (9324,3753)  (9512,3752)  (9512,3798)  (9429,3750)  (9242,4045)  (9526,4047)  (9209,3730)  (9196,4067)  (9551,3844)  (9371,4075)  (9325,4075)  (9555,3890)  (9555,3936)  (9555,3982)  (9480,4076)  (9434,4076)  (9186,3913)  (9186,3867)  (9186,3821)  (9558,3715)  (9558,3761)  (9258,4091)  (9572,4028)  (9572,4074)  (9526,4093)  (9163,3775)  (9163,3729)  (9159,4021)  (9150,4107)  (9597,3807)  (9601,3853)  (9601,3899)  (9601,3945)  (9140,3913)  (9140,3867)  (9140,3821)  (9604,3715)  (9604,3761)  (9132,3975)  (9618,3991)  (9618,4037)  (9618,4083)  (9117,3775)  (9117,3729)  (9113,4061)  (9104,4107)  (9643,3807)  (9647,3853)  (9647,3899)  (9647,3945)  (9094,3929)  (9094,3883)  (9094,3837)  (9650,3715)  (9650,3761)  (9086,4015)  | overflowToLeft=false
117 Sea Zone  (8825,1953)  (8779,1998)  (8779,1952)  (8870,1999)  (8825,1907)  (8871,1907)  (8871,1953)  (8777,1906)  (8824,2044)  (8778,2044)  (8916,1999)  (8916,2045)  (8870,2045)  (8823,1861)  (8869,1861)  (8915,1861)  (8917,1907)  (8917,1953)  (8764,1860)  (8961,1817)  (8824,2090)  (8778,2090)  (8962,1999)  (8962,2045)  (8962,2091)  (8916,2091)  (8870,2091)  (8810,1815)  (8856,1815)  (8902,1815)  (8963,1863)  (8963,1909)  (8764,1814)  (9007,1812)  (9008,1955)  (9008,2001)  (9008,2047)  (9008,2093)  (9009,1858)  (9009,1904)  | overflowToLeft=false
51 Sea Zone  (3523,2179)  (3477,2224)  (3477,2178)  (3568,2225)  (3523,2133)  (3569,2133)  (3569,2179)  (3475,2132)  (3459,2270)  (3431,2224)  (3431,2178)  (3614,2225)  (3615,2115)  (3615,2161)  (3429,2132)  (3459,2316)  (3660,2207)  (3660,2253)  (3661,2115)  (3661,2161)  (3706,2207)  (3706,2253)  (3707,2145)  (3752,2191)  (3752,2237)  (3752,2283)  | overflowToLeft=false
Calcutta  (6112,2609)  (6065,2609)  (6019,2608)  (6003,2653)  (5988,2697)  (5956,2653)  (5942,2699)  (5960,2745)  (5913,2744)  (5908,2791)  (5893,2696)  (6069,2563)  (6017,2562)  (5971,2603)  (5902,2649)  | overflowToLeft=true
48 Sea Zone  (3172,2072)  (3126,2105)  (3126,2059)  (3172,2026)  (3218,2039)  (3112,2013)  (3162,2151)  (3264,2042)  (3273,2088)  (3066,2028)  (3066,1982)  (3116,2186)  (3210,2191)  (3294,2195)  (3164,2197)  (3310,2027)  (3319,2073)  (3319,2119)  (3340,2165)  (3340,2211)  (3294,2241)  (3356,2027)  (3356,2257)  (3365,2073)  (3365,2119)  (3380,2303)  (3334,2303)  | overflowToLeft=false
